5
0	58	1
0	53	2
0	37	3
0	56	4
0	65	5
0	51	6
0	40	7
0	60	8
0	42	9
0	64	10
0	63	11
0	64	12
0	52	13
0	60	14
0	60	15
0	46	16
0	67	17
0	65	18
0	46	19
0	57	20
1	29	1
1	25	2
1	23	3
1	27	4
1	20	5
1	24	6
1	27	7
1	25	8
1	33	9
1	31	10
1	33	11
1	76	12
1	29	13
1	33	14
1	27	15
1	30	16
1	26	17
1	27	18
1	32	19
1	32	20
2	21	1
2	11	2
2	12	3
2	12	4
2	18	5
2	18	6
2	24	7
2	21	8
2	10	9
2	24	10
2	11	11
2	20	12
2	11	13
2	14	14
2	11	15
2	17	16
2	19	17
2	24	18
2	19	19
2	14	20
3	13	1
3	5	2
3	15	3
3	11	4
3	11	5
3	11	6
3	13	7
3	16	8
3	17	9
3	19	10
3	11	11
3	6	12
3	12	13
3	8	14
3	11	15
3	13	16
3	5	17
3	5	18
3	6	19
3	17	20
4	54	1
4	55	2
4	58	3
4	55	4
4	53	5
4	59	6
4	54	7
4	52	8
4	47	9
4	58	10
4	51	11
4	54	12
4	48	13
4	59	14
4	59	15
4	49	16
4	48	17
4	51	18
4	52	19
4	56	20
